common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
Abdim's Stork	Ciconia abdimii	Kleinswartooievaar	https://birda.twic.pics/species/9790cd4c-48df-4a56-8e83-0e7819dd0d81/reference_images/Abdims_Stork.jpg	https://xeno-canto.org/sounds/uploaded/MPDFSJHTXH/XC980343-abdim_wingbeats_mirbat_6_D.mp3	Storks	Very Large	Grassland	['Black', 'White', 'Grey']	Abdim's Stork	Ciconia abdimii	Kleinswartooievaar	https://birda.twic.pics/species/9790cd4c-48df-4a56-8e83-0e7819dd0d81/reference_images/Abdims_Stork.jpg	https://xeno-canto.org/sounds/uploaded/MPDFSJHTXH/XC980343-abdim_wingbeats_mirbat_6_D.mp3	Storks	Very Large	Grassland	['Black', 'White', 'Grey']
Acacia Pied Barbet	Tricholaema leucomelas	Bonthoutkapper	https://birda.twic.pics/species/9a2db496-7033-439a-8333-4ef05d269a46/reference_images/Acacia_Pied_Barbet.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059251-MixPre-1009_Tricholaema-leucomelas_YB.mp3	Barbets	Small	Fynbos	['Black', 'White', 'Red']	Acacia Pied Barbet	Tricholaema leucomelas	Bonthoutkapper	https://birda.twic.pics/species/9a2db496-7033-439a-8333-4ef05d269a46/reference_images/Acacia_Pied_Barbet.jpg	https://xeno-canto.org/sounds/uploaded/OYXLQBTHRH/XC1059251-MixPre-1009_Tricholaema-leucomelas_YB.mp3	Barbets	Small	Fynbos	['Black', 'White', 'Red']
African Barred Owlet	Glaucidium capense	Gebande Uil	https://birda.twic.pics/species/b307f049-63fa-4431-88e5-cae3fe4327c6/reference_images/African_Barred_Owlet.jpg	https://xeno-canto.org/sounds/uploaded/EEQXILTAOF/XC983636-African-Barred-Owl-Taranga-Namibia-20250318_222515.mp3	Owls	Medium	Forest	['Brown', 'White']	African Barred Owlet	Glaucidium capense	Gebande Uil	https://birda.twic.pics/species/b307f049-63fa-4431-88e5-cae3fe4327c6/reference_images/African_Barred_Owlet.jpg	https://xeno-canto.org/sounds/uploaded/EEQXILTAOF/XC983636-African-Barred-Owl-Taranga-Namibia-20250318_222515.mp3	Owls	Medium	Forest	['Brown', 'White']
African Black Duck	Anas sparsa	Swarteend	https://birda.twic.pics/species/6d568104-708c-43d1-9644-619a3792b0af/reference_images/African_Black_Duck.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615647-African%20Black%20Duck%20-%20A.%20s.%20sparsa%20-%20Flight%20call%20-%20CH%20-%20Pelttenberg%20Bay%20South%20Africa%20-%20date%20unknown.mp3	Ducks	Large	Wetland	['Brown', 'Black']	African Black Duck	Anas sparsa	Swarteend	https://birda.twic.pics/species/6d568104-708c-43d1-9644-619a3792b0af/reference_images/African_Black_Duck.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615647-African%20Black%20Duck%20-%20A.%20s.%20sparsa%20-%20Flight%20call%20-%20CH%20-%20Pelttenberg%20Bay%20South%20Africa%20-%20date%20unknown.mp3	Ducks	Large	Wetland	['Brown', 'Black']
African Black Swift	Apus barbatus	Swartwindswael	https://cdn.sabirds.app/african-broadbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC983164-Apus-barbatus-025--18.01-Anantsoiio-26-km-S--Toliara%2C-%D1%83%D1%81%D1%82%D1%8C%D0%B5-%D1%80%D0%B5%D0%BA%D0%B8-Onilahy%2C-8-05%2C-%D1%81%D1%82%D1%80%D0%B8%D0%B6%D0%B8-%D0%B8-%D0%BD%D0%B5%D0%BA%D1%82.mp3	Swifts	Small	Rocky	['Black']	African Black Swift	Apus barbatus	Swartwindswael	https://cdn.sabirds.app/african-broadbill/1_medium.webp	https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC983164-Apus-barbatus-025--18.01-Anantsoiio-26-km-S--Toliara%2C-%D1%83%D1%81%D1%82%D1%8C%D0%B5-%D1%80%D0%B5%D0%BA%D0%B8-Onilahy%2C-8-05%2C-%D1%81%D1%82%D1%80%D0%B8%D0%B6%D0%B8-%D0%B8-%D0%BD%D0%B5%D0%BA%D1%82.mp3	Swifts	Small	Rocky	['Black']
African Broadbill	Smithornis capensis	Breëbek	https://cdn.sabirds.app/african-crake/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC547980-African%20Broadbill%20%28song%29%2020200211%2CGwabiRiverLodge%2CChirundu%2CZAMBIA.mp3	Broadbills	Small	Forest	['Black', 'White', 'Pink']	African Broadbill	Smithornis capensis	Breëbek	https://cdn.sabirds.app/african-crake/1_medium.webp	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC547980-African%20Broadbill%20%28song%29%2020200211%2CGwabiRiverLodge%2CChirundu%2CZAMBIA.mp3	Broadbills	Small	Forest	['Black', 'White', 'Pink']
African Crake	Crecopsis egregia	Afrikaanse Riethaan	https://birda.twic.pics/species/31235788-4d15-4d36-8d9c-fe0d07ffd4c7/reference_images/African_Crake.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC872294-african-crake-%28call%29-kamfinsadairy%2Ckitwe%2CZAMBIA_20240203_171704_01.mp3	Crakes	Medium	Woodland	['Brown', 'Grey', 'Red']	African Crake	Crecopsis egregia	Afrikaanse Riethaan	https://birda.twic.pics/species/31235788-4d15-4d36-8d9c-fe0d07ffd4c7/reference_images/African_Crake.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC872294-african-crake-%28call%29-kamfinsadairy%2Ckitwe%2CZAMBIA_20240203_171704_01.mp3	Crakes	Medium	Woodland	['Brown', 'Grey', 'Red']
African Cuckoo	Cuculus gularis	Afrikaanse Koekoek	https://birda.twic.pics/species/2217f4fa-5e41-4d19-9113-39a8dd51eac8/reference_images/African_Cuckoo.jpg	https://xeno-canto.org/sounds/uploaded/CPQVBBQHWL/XC1005770-20250608_082151-Cuculus-gularis.mp3	Cuckoos	Medium	Fynbos	['Grey', 'White', 'Black']	African Cuckoo	Cuculus gularis	Afrikaanse Koekoek	https://birda.twic.pics/species/2217f4fa-5e41-4d19-9113-39a8dd51eac8/reference_images/African_Cuckoo.jpg	https://xeno-canto.org/sounds/uploaded/CPQVBBQHWL/XC1005770-20250608_082151-Cuculus-gularis.mp3	Cuckoos	Medium	Fynbos	['Grey', 'White', 'Black']
African Cuckoo Hawk	Aviceda cuculoides	Koekoekvalk	https://cdn.sabirds.app/african-darter/1_medium.webp	https://xeno-canto.org/sounds/uploaded/NOJNUVZEHB/XC788596-Africancuckoohawk_1144XC.mp3	Hawks	Large	Forest	['Grey', 'Brown', 'Black']	African Cuckoo Hawk	Aviceda cuculoides	Koekoekvalk	https://cdn.sabirds.app/african-darter/1_medium.webp	https://xeno-canto.org/sounds/uploaded/NOJNUVZEHB/XC788596-Africancuckoohawk_1144XC.mp3	Hawks	Large	Forest	['Grey', 'Brown', 'Black']
African Darter	Anhinga rufa	Slanghalsvoël	https://birda.twic.pics/species/c7eb3a72-a1e2-4ab3-8758-a120e6b600c5/reference_images/African_Darter.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615905-African%20Darter%20-%20A.%20r.%20rufa%20-%20Unknown%20-%20DN%20-%20Roodeplaat%20Dam%20South%20Africa%20-%2017%20July%202006.mp3	Darters	Very Large	Wetland	['Black', 'Brown', 'White']	African Darter	Anhinga rufa	Slanghalsvoël	https://birda.twic.pics/species/c7eb3a72-a1e2-4ab3-8758-a120e6b600c5/reference_images/African_Darter.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615905-African%20Darter%20-%20A.%20r.%20rufa%20-%20Unknown%20-%20DN%20-%20Roodeplaat%20Dam%20South%20Africa%20-%2017%20July%202006.mp3	Darters	Very Large	Wetland	['Black', 'Brown', 'White']
