name,scientific,image
Acacia Pied Barbet,Tricholaema leucomelas,https://birda.twic.pics/species/9a2db496-7033-439a-8333-4ef05d269a46/reference_images/Acacia_Pied_Barbet.jpg
Black-collared Barbet,Lybius torquatus,https://birda.twic.pics/species/ecd51f7d-78f8-4246-b1e4-7359b13ab704/reference_images/Black-collared_Barbet_-_Adult.jpg
Crested Barbet,Trachyphonus vaillantii,https://birda.twic.pics/species/40bffa5c-f735-4d85-add0-6cee03396e6f/reference_images/Crested_Barbet_-_Adult.jpg
Green Barbet,Stactolaema olivacea,N/A
Green Tinkerbird,Pogoniulus simplex,N/A
Red-fronted Tinkerbird,Pogoniulus pusillus,https://birda.twic.pics/species/ac2b94a5-7c51-4b34-9562-a01fa91b2859/reference_images/Red-fronted_Tinkerbird.jpg
White-eared Barbet,Stactolaema leucotis,https://birda.twic.pics/species/bf82b33d-babe-4117-8697-f9f4d0b10a7f/reference_images/White-eared_Barbet.jpg
Whyte's Barbet,Stactolaema whytii,N/A
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,https://birda.twic.pics/species/28f9ac00-80c9-4174-818e-e1f31966fc97/reference_images/Yellow-fronted_Tinkerbird.jpg
Yellow-rumped Tinkerbird,Pogoniulus bilineatus,https://birda.twic.pics/species/6a38b1fe-f6d7-48db-bce4-48bac005a92f/reference_images/Yellow-rumped_Tinkerbird_-_Adult.jpg
African Broadbill,Smithornis capensis,N/A
Brown-headed Parrot,Poicephalus cryptoxanthus,https://birda.twic.pics/species/72f3f357-6f21-4270-992b-35596c31a87d/reference_images/Brown-headed_Parrot.jpg
Brown-necked Parrot,Poicephalus fuscicollis,https://birda.twic.pics/species/617456a5-97d3-4f67-bea7-8615b76cd92b/reference_images/Brown-necked_Parrot-_Male.jpg
Cape Parrot,Poicephalus robustus,https://birda.twic.pics/species/de238770-cc7e-406c-8db3-bf07370e5d08/reference_images/Cape_Parrot-_Male.jpg
Meyer's Parrot,Poicephalus meyeri,https://birda.twic.pics/species/53ef0d59-ca1e-4103-9edd-a99239d108d4/reference_images/Meyers_Parrot.jpg
Rüppell's Parrot,Poicephalus rueppellii,https://birda.twic.pics/species/4a486550-c645-431b-b17d-f5c171e70650/reference_images/Ruppells_Parrot-_Male_1.jpg
Amsterdam Albatross,Diomedea amsterdamensis,https://birda.twic.pics/species/d1ea3464-991a-4c42-82d3-c5d8e00164e8/reference_images/Amsterdam_Albatross-_Flying.jpg
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,https://birda.twic.pics/species/9658895e-2d4e-4f08-92a3-26b7cb169ebf/reference_images/Atlantic_Yellow-nosed_Albatross-_F.jpg
Black-browed Albatross,Thalassarche melanophris,https://birda.twic.pics/species/5c010079-c4b9-4f03-b25f-d62fc3721b84/reference_images/Black-browed_Albatross-_Flying.jpg
Buller's Albatross,Thalassarche bulleri,https://birda.twic.pics/species/830a1f72-779e-4ec7-a071-db550ade3fb0/reference_images/Bullers_Albatross-_Flying.jpg
Chatham Albatross,Thalassarche eremita,https://birda.twic.pics/species/651e9535-a77b-4935-9928-abee3c99938f/reference_images/Chatham_Albatross-_Flying.jpg
Grey-headed Albatross,Thalassarche chrysostoma,https://birda.twic.pics/species/a2f7f856-047a-48fd-ad86-8c80d5c46fb3/reference_images/Grey-headed_Albatross-_Flying.jpg
Indian Yellow-nosed Albatross,Thalassarche carteri,https://birda.twic.pics/species/101f574f-5bd5-428f-b2e4-2e7a404ed694/reference_images/Indian_Yellow-nosed_Albatross-_Fly.jpg
Laysan Albatross,Phoebastria immutabilis,https://birda.twic.pics/species/daf9ce02-ba95-45b8-8448-aaa00e529381/reference_images/Laysan_Albatross-_Flying.jpg
Light-mantled Albatross,Phoebetria palpebrata,https://birda.twic.pics/species/afa274d2-110e-4e14-877e-61cc7e156eba/reference_images/Light-mantled_Albatross-_Flying.jpg
Northern Royal Albatross,Diomedea sanfordi,https://birda.twic.pics/species/ddac2342-8503-4445-96d7-c15e70776b7c/reference_images/Northern_Royal_Albatross-_Flying.jpg
Salvin's Albatross,Thalassarche salvini,https://birda.twic.pics/species/653870bd-1fb9-4df8-8d1a-9074cb7254e6/reference_images/Salvins_Albatross-_Flying.jpg
Shy Albatross,Thalassarche cauta,https://birda.twic.pics/species/f01a8aa2-647e-4a0e-b3fc-11370267f397/reference_images/Shy_Albatross-_Flying.jpg
