common_name,scientific_name
Common Ostrich,Struthio camelus
Helmeted Guineafowl,Numida meleagris
Southern Crested Guineafowl,Guttera edouardi
Common Quail,Coturnix coturnix
Harlequin Quail,Coturnix delegorguei
African Blue Quail,Synoicus adansonii
Red-billed Spurfowl,Pternistis adspersus
Cape Spurfowl,Pternistis capensis
Natal Spurfowl,Pternistis natalensis
Red-necked Spurfowl,Pternistis afer
Swainson's Spurfowl,Pternistis swainsonii
Crested Francolin,Ortygornis sephaena
Coqui Francolin,Campocolinus coqui
Red-winged Francolin,Scleroptila levaillantii
Grey-winged Francolin,Scleroptila afra
Shelley's Francolin,Scleroptila shelleyi
Orange River Francolin,Scleroptila gutturalis
White-faced Whistling-duck,Dendrocygna viduata
Fulvous Whistling-duck,Dendrocygna bicolor
White-backed Duck,Thalassornis leuconotus
Maccoa Duck,Oxyura maccoa
Egyptian Goose,Alopochen aegyptiaca
South African Shelduck,Tadorna cana
Spur-winged Goose,Plectropterus gambensis
Knob-billed Duck,Sarkidiornis melanotos
African Pygmy-goose,Nettapus auritus
Southern Pochard,Netta erythrophthalma
Garganey,Spatula querquedula
Blue-billed Teal,Spatula hottentota
Cape Shoveler,Spatula smithii
African Black Duck,Anas sparsa
Yellow-billed Duck,Anas undulata
Cape Teal,Anas capensis
Red-billed Teal,Anas erythrorhyncha
Northern Pintail,Anas acuta
Little Grebe,Tachybaptus ruficollis
Great Crested Grebe,Podiceps cristatus
Black-necked Grebe,Podiceps nigricollis
Greater Flamingo,Phoenicopterus roseus
Lesser Flamingo,Phoeniconaias minor
Red-tailed Tropicbird,Phaethon rubricauda
White-tailed Tropicbird,Phaethon lepturus
Speckled Pigeon,Columba guinea
African Olive-pigeon,Columba arquatrix
Eastern Bronze-naped Pigeon,Columba delegorguei
Lemon Dove,Aplopelia larvata
Mourning Collared-dove,Streptopelia decipiens
Red-eyed Dove,Streptopelia semitorquata
Ring-necked Dove,Streptopelia capicola
Laughing Dove,Spilopelia senegalensis
Emerald-spotted Wood-dove,Turtur chalcospilos
Blue-spotted Wood-dove,Turtur afer
Tambourine Dove,Turtur tympanistria
Namaqua Dove,Oena capensis
Grey-breasted Green-pigeon,Treron delalandii
Namaqua Sandgrouse,Pterocles namaqua
Yellow-throated Sandgrouse,Pterocles gutturalis
Burchell's Sandgrouse,Pterocles burchelli
Double-banded Sandgrouse,Pterocles bicinctus
European Nightjar,Caprimulgus europaeus
Rufous-cheeked Nightjar,Caprimulgus rufigena
Fiery-necked Nightjar,Caprimulgus pectoralis
Swamp Nightjar,Caprimulgus natalensis
Freckled Nightjar,Caprimulgus tristigma
Mozambique Nightjar,Caprimulgus fossii
Pennant-winged Nightjar,Caprimulgus vexillarius
Mottled Spinetail,Telacanthura ussheri
Böhm's Spinetail,Neafrapus boehmi
African Palm Swift,Cypsiurus parvus
Alpine Swift,Tachymarptis melba
White-rumped Swift,Apus caffer
Horus Swift,Apus horus
Little Swift,Apus affinis
Bradfield's Swift,Apus bradfieldi
African Swift,Apus barbatus
Common Swift,Apus apus
Senegal Coucal,Centropus senegalensis
White-browed Coucal,Centropus superciliosus
Black Coucal,Centropus grillii
Whistling Yellowbill,Ceuthmochares australis
Jacobin Cuckoo,Clamator jacobinus
Levaillant's Cuckoo,Clamator levaillantii
Great Spotted Cuckoo,Clamator glandarius
Thick-billed Cuckoo,Pachycoccyx audeberti
Klaas's Cuckoo,Chrysococcyx klaas
African Emerald Cuckoo,Chrysococcyx cupreus
Diederik Cuckoo,Chrysococcyx caprius
Red-chested Cuckoo,Cuculus solitarius
Black Cuckoo,Cuculus clamosus
Common Cuckoo,Cuculus canorus
African Cuckoo,Cuculus gularis
African Finfoot,Podica senegalensis
Buff-spotted Flufftail,Sarothrura elegans
Red-chested Flufftail,Sarothrura rufa
Striped Flufftail,Sarothrura affinis
White-winged Flufftail,Sarothrura ayresi
African Rail,Rallus caerulescens
African Crake,Crex egregia
Corncrake,Crex crex
Spotted Crake,Porzana porzana
Black Crake,Zapornia flavirostra
Baillon's Crake,Zapornia pusilla
Striped Crake,Amaurornis marginalis
Purple Swamphen,Porphyrio porphyrio
Allen's Gallinule,Porphyrio alleni
Common Moorhen,Gallinula chloropus
Lesser Moorhen,Paragallinula angulata
Red-knobbed Coot,Fulica cristata
Grey Crowned Crane,Balearica regulorum
Wattled Crane,Bugeranus carunculatus
Blue Crane,Anthropoides paradiseus
Black-bellied Bustard,Lissotis melanogaster
Ludwig's Bustard,Neotis ludwigii
Denham's Bustard,Neotis denhami
Kori Bustard,Ardeotis kori
Red-crested Bustard,Lophotis ruficrista
Karoo Bustard,Heterotetrax vigorsii
Southern Black Bustard,Afrotis afra
Northern Black Bustard,Afrotis afraoides
White-bellied Bustard,Eupodotis senegalensis
Blue Bustard,Eupodotis caerulescens
Grey Go-away-bird,Corythaixoides concolor
Purple-crested Turaco,Gallirex porphyreolophus
Livingstone's Turaco,Tauraco livingstonii
Knysna Turaco,Tauraco corythaix
King Penguin,Aptenodytes patagonicus
Gentoo Penguin,Pygoscelis papua
Macaroni Penguin,Eudyptes chrysolophus
Southern Rockhopper Penguin,Eudyptes chrysocome
African Penguin,Spheniscus demersus
Wilson's Storm-petrel,Oceanites oceanicus
White-bellied Storm-petrel,Fregetta grallaria
Black-bellied Storm-petrel,Fregetta tropica
Leach's Storm-petrel,Hydrobates leucorhous
Northern Royal Albatross,Diomedea sanfordi
