common_name,scientific_name,family
Common Ostrich,Struthio camelus,Struthionidae (Ostriches)
Helmeted Guineafowl,Numida meleagris,Numididae (Guineafowl)
Southern Crested Guineafowl,Guttera edouardi,Numididae (Guineafowl)
Common Quail,Coturnix coturnix,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Harlequin Quail,Coturnix delegorguei,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
African Blue Quail,Synoicus adansonii,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Red-billed Spurfowl,Pternistis adspersus,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Cape Spurfowl,Pternistis capensis,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Natal Spurfowl,Pternistis natalensis,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Red-necked Spurfowl,Pternistis afer,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Swainson's Spurfowl,Pternistis swainsonii,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Crested Francolin,Ortygornis sephaena,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Coqui Francolin,Campocolinus coqui,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Red-winged Francolin,Scleroptila levaillantii,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Grey-winged Francolin,Scleroptila afra,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Shelley's Francolin,Scleroptila shelleyi,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
Orange River Francolin,Scleroptila gutturalis,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)"
White-faced Whistling-duck,Dendrocygna viduata,"Anatidae (Ducks, Geese, Swans)"
Fulvous Whistling-duck,Dendrocygna bicolor,"Anatidae (Ducks, Geese, Swans)"
White-backed Duck,Thalassornis leuconotus,"Anatidae (Ducks, Geese, Swans)"
Maccoa Duck,Oxyura maccoa,"Anatidae (Ducks, Geese, Swans)"
Egyptian Goose,Alopochen aegyptiaca,"Anatidae (Ducks, Geese, Swans)"
South African Shelduck,Tadorna cana,"Anatidae (Ducks, Geese, Swans)"
Spur-winged Goose,Plectropterus gambensis,"Anatidae (Ducks, Geese, Swans)"
Knob-billed Duck,Sarkidiornis melanotos,"Anatidae (Ducks, Geese, Swans)"
African Pygmy-goose,Nettapus auritus,"Anatidae (Ducks, Geese, Swans)"
Southern Pochard,Netta erythrophthalma,"Anatidae (Ducks, Geese, Swans)"
Garganey,Spatula querquedula,"Anatidae (Ducks, Geese, Swans)"
Blue-billed Teal,Spatula hottentota,"Anatidae (Ducks, Geese, Swans)"
Cape Shoveler,Spatula smithii,"Anatidae (Ducks, Geese, Swans)"
African Black Duck,Anas sparsa,"Anatidae (Ducks, Geese, Swans)"
Yellow-billed Duck,Anas undulata,"Anatidae (Ducks, Geese, Swans)"
Cape Teal,Anas capensis,"Anatidae (Ducks, Geese, Swans)"
Red-billed Teal,Anas erythrorhyncha,"Anatidae (Ducks, Geese, Swans)"
Northern Pintail,Anas acuta,"Anatidae (Ducks, Geese, Swans)"
Little Grebe,Tachybaptus ruficollis,Podicipedidae (Grebes)
Great Crested Grebe,Podiceps cristatus,Podicipedidae (Grebes)
Black-necked Grebe,Podiceps nigricollis,Podicipedidae (Grebes)
Greater Flamingo,Phoenicopterus roseus,Phoenicopteridae (Flamingos)
Lesser Flamingo,Phoeniconaias minor,Phoenicopteridae (Flamingos)
Red-tailed Tropicbird,Phaethon rubricauda,Phaethontidae (Tropicbirds)
White-tailed Tropicbird,Phaethon lepturus,Phaethontidae (Tropicbirds)
Speckled Pigeon,Columba guinea,"Columbidae (Pigeons, Doves)"
African Olive-pigeon,Columba arquatrix,"Columbidae (Pigeons, Doves)"
Eastern Bronze-naped Pigeon,Columba delegorguei,"Columbidae (Pigeons, Doves)"
Lemon Dove,Aplopelia larvata,"Columbidae (Pigeons, Doves)"
Mourning Collared-dove,Streptopelia decipiens,"Columbidae (Pigeons, Doves)"
Red-eyed Dove,Streptopelia semitorquata,"Columbidae (Pigeons, Doves)"
Ring-necked Dove,Streptopelia capicola,"Columbidae (Pigeons, Doves)"
Laughing Dove,Spilopelia senegalensis,"Columbidae (Pigeons, Doves)"
Emerald-spotted Wood-dove,Turtur chalcospilos,"Columbidae (Pigeons, Doves)"
Blue-spotted Wood-dove,Turtur afer,"Columbidae (Pigeons, Doves)"
Tambourine Dove,Turtur tympanistria,"Columbidae (Pigeons, Doves)"
Namaqua Dove,Oena capensis,"Columbidae (Pigeons, Doves)"
Grey-breasted Green-pigeon,Treron delalandii,"Columbidae (Pigeons, Doves)"
