common_name,scientific_name,image_src
Common Ostrich,Struthio camelus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016860/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Helmeted Guineafowl,Numida meleagris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/308/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Crested Guineafowl,Guttera edouardi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016530/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Quail,Coturnix coturnix,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/194/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Harlequin Quail,Coturnix delegorguei,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/199/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Blue Quail,Synoicus adansonii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/201/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-billed Spurfowl,Pternistis adspersus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/169/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cape Spurfowl,Pternistis capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/170/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Natal Spurfowl,Pternistis natalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/172/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-necked Spurfowl,Pternistis afer,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/178/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
