,Common name,Binomial
0,Common ostrich (South African ostrich),Struthio camelus (S. c. australis)
1,White-faced whistling-duck,Dendrocygna viduata
2,Fulvous whistling-duck,Dendrocygna bicolor
3,White-backed duck,Thalassornis leuconotus
4,Mute swan,Cygnus olor
5,Knob-billed duck,Sarkidiornis melanotos
6,Egyptian goose,Alopochen aegyptiaca
7,South African shelduck,Tadorna cana
8,Spur-winged goose,Plectropterus gambensis
9,African pygmy-goose,Nettapus auritus
10,Garganey,Spatula querquedula
11,Blue-billed teal,Spatula hottentota
12,Cape shoveler,Spatula smithii
13,Northern shoveler,Spatula clypeata
14,African black duck,Anas sparsa
15,Yellow-billed duck,Anas undulata
16,Mallard,Anas platyrhynchos
17,Cape teal,Anas capensis
18,Red-billed duck,Anas erythrorhyncha
19,Northern pintail,Anas acuta
20,Southern pochard,Netta erythrophthalma
21,Maccoa duck,Oxyura maccoa
22,Helmeted guineafowl,Numida meleagris
23,Southern crested guineafowl,Guttera edouardi
24,Indian peafowl,Pavo cristatus
25,Crested francolin,Ortygornis sephaena
26,Coqui francolin,Campocolinus coqui
27,Red-winged francolin,Scleroptila levaillantii
28,Grey-winged francolin,Scleroptila africanus
29,Orange River francolin,Scleroptila gutturalis
30,Shelley's francolin,Scleroptila shelleyi
31,Blue quail,Synoicus adansonii
32,Common quail,Coturnix coturnix
33,Harlequin quail,Coturnix delegorguei
34,Chukar,Alectoris chukar
35,Red-billed francolin,Pternistis adspersus
36,Cape francolin,Pternistis capensis
37,Natal francolin,Pternistis natalensis
38,Swainson's francolin,Pternistis swainsonii
39,Red-necked francolin,Pternistis afer
40,Greater flamingo,Phoenicopterus roseus
41,Lesser flamingo,Phoeniconaias minor
42,Little grebe,Tachybaptus ruficollis
43,Great crested grebe,Podiceps cristatus
44,Eared grebe,Podiceps nigricollis
45,Rock pigeon,Columba livia
46,Speckled pigeon,Columba guinea
47,Rameron pigeon,Columba arquatrix
48,Delegorgue's pigeon,Columba delegorguei
49,Lemon dove,Columba larvata
50,European turtle-dove,Streptopelia turtur
51,Mourning collared-dove,Streptopelia decipiens
52,Red-eyed dove,Streptopelia semitorquata
53,Ring-necked dove,Streptopelia capicola
54,Laughing dove,Streptopelia senegalensis
55,Emerald-spotted wood-dove,Turtur chalcospilos
56,Blue-spotted wood-dove,Turtur afer
57,Tambourine dove,Turtur tympanistria
58,Namaqua dove,Oena capensis
59,African green-pigeon,Treron calvus
60,Namaqua sandgrouse,Pterocles namaqua
61,Yellow-throated sandgrouse,Pterocles gutturalis
62,Double-banded sandgrouse,Pterocles bicinctus
63,Burchell's sandgrouse,Pterocles burchelli
64,Kori bustard,Ardeotis kori
65,Ludwig's bustard,Neotis ludwigii
66,Denham's bustard,Neotis denhami
67,White-bellied bustard,Eupodotis senegalensis
68,Blue bustard,Eupodotis caerulescens
69,Karoo bustard,Eupodotis vigorsii
70,Red-crested bustard,Eupodotis ruficrista
71,Black bustard,Eupodoti afra
72,White-quilled bustard,Eupodoti afraoides
73,Black-bellied bustard,Lissotis melanogaster
74,Livingstone's turaco,Tauraco livingstonii
75,Knysna turaco,Tauraco corythaix
76,Purple-crested turaco,Tauraco porphyreolophus
77,Grey go-away-bird,Corythaixoides concolor
78,Senegal coucal,Centropus senegalensis
79,White-browed coucal,Centropus superciliosus
80,Black coucal,Centropus grillii
81,Green malkoha,Ceuthmochares australis
82,Great spotted cuckoo,Clamator glandarius
83,Levaillant's cuckoo,Clamator levaillantii
84,Pied cuckoo,Clamator jacobinus
85,Thick-billed cuckoo,Pachycoccyx audeberti
86,Dideric cuckoo,Chrysococcyx caprius
87,Klaas's cuckoo,Chrysococcyx klaas
88,African emerald cuckoo,Chrysococcyx cupreus
89,Barred long-tailed cuckoo,Cercococcyx montanus
90,Black cuckoo,Cuculus clamosus
91,Red-chested cuckoo,Cuculus solitarius
92,Lesser cuckoo,Cuculus poliocephalus
93,African cuckoo,Cuculus gularis
94,Madagascar cuckoo,Cuculus rochii
95,Common cuckoo,Cuculus canorus
96,Pennant-winged nightjar,Caprimulgus vexillarius
97,Eurasian nightjar,Caprimulgus europaeus
98,Rufous-cheeked nightjar,Caprimulgus rufigena
99,Fiery-necked nightjar,Caprimulgus pectoralis
100,Swamp nightjar,Caprimulgus natalensis
101,Freckled nightjar,Caprimulgus tristigma
102,Square-tailed nightjar,Caprimulgus fossii
103,Mottled spinetail,Telacanthura ussheri
104,Bat-like spinetail,Neafrapus boehmi
105,Alpine swift,Apus melba
106,Common swift,Apus apus
107,African swift,Apus barbatus
108,Bradfield's swift,Apus bradfieldi
109,Little swift,Apus affinis
110,Horus swift,Apus horus
111,White-rumped swift,Apus caffer
112,African palm-swift,Cypsiurus parvus
113,Buff-spotted flufftail,Sarothrura elegans
114,Red-chested flufftail,Sarothrura rufa
115,Streaky-breasted flufftail,Sarothrura boehmi
116,Striped flufftail,Sarothrura affinis
117,White-winged flufftail,Sarothrura ayresi
118,African rail,Rallus caerulescens
119,Corn crake,Crex crex
120,African crake,Crex egregia
121,Spotted crake,Porzana porzana
122,Lesser moorhen,Paragallinula angulata
123,Eurasian moorhen,Gallinula chloropus
124,Red-knobbed coot,Fulica cristata
125,Allen's gallinule,Porphyrio alleni
126,Purple gallinule,Porphyrio martinica
127,African swamphen,Porphyrio madagascariensis
128,Striped crake,Amaurornis marginalis
129,Black crake,Zapornia flavirostra
130,Little crake,Zapornia parva
131,Baillon's crake,Zapornia pusilla
132,African finfoot,Podica senegalensis
133,Grey crowned-crane,Balearica regulorum
134,Blue crane,Anthropoides paradiseus
135,Wattled crane,Bugeranus carunculatus
136,Snowy sheathbill,Chionis alba
137,Water thick-knee,Burhinus vermiculatus
138,Spotted thick-knee,Burhinus capensis
139,Black-winged stilt,Himantopus himantopus
140,Pied avocet,Recurvirostra avosetta
141,Eurasian oystercatcher,Haematopus ostralegus
142,African oystercatcher,Haematopus moquini
143,Black-bellied plover,Pluvialis squatarola
144,American golden-plover,Pluvialis dominica
145,Pacific golden-plover,Pluvialis fulva
146,Long-toed lapwing,Vanellus crassirostris
147,Blacksmith lapwing,Vanellus armatus
148,Spur-winged lapwing,Vanellus spinosus
149,White-headed lapwing,Vanellus albiceps
150,Senegal lapwing,Vanellus lugubris
151,Black-winged lapwing,Vanellus melanopterus
152,Crowned lapwing,Vanellus coronatus
153,Wattled lapwing,Vanellus senegallus
154,Lesser sand-plover,Charadrius mongolus
155,Greater sand-plover,Charadrius leschenaultii
156,Caspian plover,Charadrius asiaticus
157,Kittlitz's plover,Charadrius pecuarius
158,Common ringed plover,Charadrius hiaticula
159,Little ringed plover,Charadrius dubius
160,Three-banded plover,Charadrius tricollaris
161,White-fronted plover,Charadrius marginatus
162,Chestnut-banded plover,Charadrius pallidus
163,Greater painted-snipe,Rostratula benghalensis
164,Lesser jacana,Microparra capensis
165,African jacana,Actophilornis africanus
166,Whimbrel,Numenius phaeopus
167,Eurasian curlew,Numenius arquata
168,Bar-tailed godwit,Limosa lapponica
169,Black-tailed godwit,Limosa limosa
170,Hudsonian godwit,Limosa haemastica
171,Ruddy turnstone,Arenaria interpres
172,Great knot,Calidris tenuirostris
173,Red knot,Calidris canutus
174,Ruff,Calidris pugnax
175,Broad-billed sandpiper,Calidris falcinellus
176,Curlew sandpiper,Calidris ferruginea
177,Temminck's stint,Calidris temminckii
178,Long-toed stint,Calidris subminuta
179,Red-necked stint,Calidris ruficollis
180,Sanderling,Calidris alba
181,Dunlin,Calidris alpina
182,Baird's sandpiper,Calidris bairdii
183,Little stint,Calidris minuta
184,White-rumped sandpiper,Calidris fuscicollis
185,Buff-breasted sandpiper,Calidris subruficollis
186,Pectoral sandpiper,Calidris melanotos
187,Asian dowitcher,Limnodromus semipalmatus
188,Great snipe,Gallinago media
189,African snipe,Gallinago nigripennis
190,Terek sandpiper,Xenus cinereus
191,Wilson's phalarope,Phalaropus tricolor
192,Red-necked phalarope,Phalaropus lobatus
193,Red phalarope,Phalaropus fulicarius
194,Common sandpiper,Actitis hypoleucos
195,Green sandpiper,Tringa ochropus
196,Spotted redshank,Tringa erythropus
197,Common greenshank,Tringa nebularia
198,Lesser yellowlegs,Tringa flavipes
199,Marsh sandpiper,Tringa stagnatilis
200,Wood sandpiper,Tringa glareola
201,Common redshank,Tringa totanus
202,Small buttonquail,Turnix sylvaticus
203,Black-rumped buttonquail,Turnix nanus
204,Fynbos buttonquail,Turnix hottentottus
205,Crab-plover,Dromas ardeola
206,Burchell's courser,Cursorius rufus
207,Temminck's courser,Cursorius temminckii
208,Double-banded courser,Smutsornis africanus
209,Three-banded courser,Rhinoptilus cinctus
210,Bronze-winged courser,Rhinoptilus chalcopterus
211,Collared pratincole,Glareola pratincola
212,Black-winged pratincole,Glareola nordmanni
213,Rock pratincole,Glareola nuchalis
214,South polar skua,Stercorarius maccormicki
215,Brown skua,Stercorarius antarcticus
216,Pomarine jaeger,Stercorarius pomarinus
217,Parasitic jaeger,Stercorarius parasiticus
218,Long-tailed jaeger,Stercorarius longicaudus
219,Black-legged kittiwake,Rissa tridactyla
220,Sabine's gull,Xema sabini
