Common Name,Scientific Name
Common Ostrich,Struthio camelus
Emu,Dromaius novaehollandiae
White-faced Whistling-Duck,Dendrocygna viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis
Fulvous Whistling-Duck,Dendrocygna bicolor
White-backed Duck,Thalassornis leuconotus
Bar-headed Goose,Anser indicus
Graylag Goose,Anser anser
Mute Swan,Cygnus olor
Black Swan,Cygnus atratus
Knob-billed Duck,Sarkidiornis melanotos
Egyptian Goose,Alopochen aegyptiaca
South African Shelduck,Tadorna cana
Common Shelduck,Tadorna tadorna
Spur-winged Goose,Plectropterus gambensis
Muscovy Duck,Cairina moschata
African Pygmy-Goose,Nettapus auritus
Ringed Teal,Callonetta leucophrys
Wood Duck,Aix sponsa
Mandarin Duck,Aix galericulata
Blue-billed Teal,Spatula hottentota
Cape Shoveler,Spatula smithii
Northern Shoveler,Spatula clypeata
African Black Duck,Anas sparsa
Yellow-billed Duck,Anas undulata
Mallard,Anas platyrhynchos
Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
African Black Duck x Mallard (hybrid),Anas sparsa x platyrhynchos
Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
Cape Teal,Anas capensis
Red-billed Duck,Anas erythrorhyncha
Northern Pintail,Anas acuta
Red-crested Pochard,Netta rufina
Southern Pochard,Netta erythrophthalma
Ruddy Duck,Oxyura jamaicensis
White-headed Duck,Oxyura leucocephala
Maccoa Duck,Oxyura maccoa
Helmeted Guineafowl,Numida meleagris
Southern Crested Guineafowl,Guttera edouardi
Wild Turkey,Meleagris gallopavo
Indian Peafowl,Pavo cristatus
Red Junglefowl,Gallus gallus
Crested Francolin,Ortygornis sephaena
Coqui Francolin,Campocolinus coqui
Red-winged Francolin,Scleroptila levaillantii
Gray-winged Francolin,Scleroptila afra
Orange River Francolin,Scleroptila gutturalis
Shelley's Francolin,Scleroptila shelleyi
Common Quail,Coturnix coturnix
Harlequin Quail,Coturnix delegorguei
Chukar,Alectoris chukar
Red-billed Spurfowl,Pternistis adspersus
Cape Spurfowl,Pternistis capensis
Natal Spurfowl,Pternistis natalensis
Swainson's Spurfowl,Pternistis swainsonii
Red-necked Spurfowl,Pternistis afer
Rock Pigeon,Columba livia
Speckled Pigeon,Columba guinea
Rameron Pigeon,Columba arquatrix
Eastern Bronze-naped Pigeon,Columba delegorguei
Lemon Dove,Aplopelia larvata
European Turtle-Dove,Streptopelia turtur
Mourning Collared-Dove,Streptopelia decipiens
Red-eyed Dove,Streptopelia semitorquata
Ring-necked Dove,Streptopelia capicola
Laughing Dove,Spilopelia senegalensis
Emerald-spotted Wood-Dove,Turtur chalcospilos
Blue-spotted Wood-Dove,Turtur afer
Tambourine Dove,Turtur tympanistria
Namaqua Dove,Oena capensis
African Green-Pigeon,Treron calvus
Namaqua Sandgrouse,Pterocles namaqua
Yellow-throated Sandgrouse,Pterocles gutturalis
Double-banded Sandgrouse,Pterocles bicinctus
Burchell's Sandgrouse,Pterocles burchelli
Kori Bustard,Ardeotis kori
Ludwig's Bustard,Neotis ludwigii
Denham's Bustard,Neotis denhami
White-bellied Bustard,Eupodotis senegalensis
Blue Bustard,Eupodotis caerulescens
Karoo Bustard,Heterotetrax vigorsii
Red-crested Bustard,Lophotis ruficrista
Black Bustard,Afrotis afra
White-quilled Bustard,Afrotis afraoides
Black-bellied Bustard,Lissotis melanogaster
Gray Go-away-bird,Crinifer concolor
Purple-crested Turaco,Gallirex porphyreolophus
Violet Turaco,Tauraco violaceus
Livingstone's Turaco,Tauraco livingstonii
Knysna Turaco,Tauraco corythaix
Senegal Coucal,Centropus senegalensis
Burchell's Coucal,Centropus burchellii
Black Coucal,Centropus grillii
Green Malkoha,Ceuthmochares australis
Great Spotted Cuckoo,Clamator glandarius
Levaillant's Cuckoo,Clamator levaillantii
