common,latin,code,audio_url
Common Ostrich,Struthio camelus,2247CB050A76CF8E,https://xeno-canto.org/sounds/uploaded/WEWZUDAFQF/XC845947-Rattle_(000102_0674).mp3
White-faced Whistling Duck,Dendrocygna viduata,A534AFEA126DBD62,https://xeno-canto.org/sounds/uploaded/THHNKSHUMO/XC1053111-051-Dendrocygne-veuf260127_0474.mp3
Fulvous Whistling Duck,Dendrocygna bicolor,9A60617EE376ABE9,https://xeno-canto.org/sounds/uploaded/JQSYKZHEMB/XC459633-DendrobicolorTape26LaCandelaria1979.mp3
White-backed Duck,Thalassornis leuconotus,2EEDACD56C704AE5,https://xeno-canto.org/sounds/uploaded/RKQPZQAYOU/XC809424-WBD2.mp3
Spur-winged Goose,Plectropterus gambensis,EB01B24C6C4CDD54,https://xeno-canto.org/sounds/uploaded/HZKCNRIPRH/XC126343-SpurWingedGoose21Jan2013BenfontijnFreeStateSouthAfrika.mp3
Knob-billed Duck,Sarkidiornis melanotos,3948131B5C866873,https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC791481-Knob-billed-duck-%28flight%2C-female%29-KamfinsaDiaryfarm%2CKitwe%2CZAMBIA_20230209_183728.mp3
Egyptian Goose,Alopochen aegyptiaca,DA2F24E310CF72A6,https://xeno-canto.org/sounds/uploaded/YNFBVPUMSY/XC1073916-%E5%9F%83%E5%8F%8A%E9%9B%81%E5%92%8C%E6%96%91%E9%B8%A0.mp3
Common Shelduck,Tadorna tadorna,5EAB32D3007896F3,https://xeno-canto.org/sounds/uploaded/PDMQHRJMYN/XC1053268-Shelduck-07.11.25-FLA.mp3
South African Shelduck,Tadorna cana,D9DEA77E9D637151,https://xeno-canto.org/sounds/uploaded/GQMCPIVNXX/XC458468-South%20African%20Shelduck.mp3
African Pygmy Goose,Nettapus auritus,EC7C161891215A81,https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC647147-African%20Pygmy%20Goose%20-%20N.%20auritus%20-%20Song%20-%20DN%20-%20Nylsvlei%20-%2022%20March%202008.mp3
Garganey,Spatula querquedula,F577BA0F5BB7BD3F,https://xeno-canto.org/sounds/uploaded/LELYWQKUZX/XC993449-Spatula-querquedula-250422_001%2C-%D0%9B%D0%B0%D1%89-%D0%A2%D0%B0%D1%8F%D0%B1%D0%B0%2C-%D0%BF%D1%80%D1%83%D0%B4%2C-21-25%2CAB-fl%2Bcall.mp3
Blue-billed Teal,Spatula hottentota,FA831F653458789B,https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC510396-LS_55053%20Hottentot%20Teal%20call%20A.mp3
Cape Shoveler,Spatula smithii,4670CF434BF8489C,https://xeno-canto.org/sounds/uploaded/CCUCXWCPSW/XC947441-2024_10_11-Spatula-smithii.mp3
Northern Shoveler,Spatula clypeata,ED4CE8E7CFF43696,https://xeno-canto.org/sounds/uploaded/BJAXFFKOML/XC1041165-Canard-souchet_femelle_150525-8h.mp3
African Black Duck,Anas sparsa,1EAFAD9FAED6B99B,https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615647-African%20Black%20Duck%20-%20A.%20s.%20sparsa%20-%20Flight%20call%20-%20CH%20-%20Pelttenberg%20Bay%20South%20Africa%20-%20date%20unknown.mp3
Yellow-billed Duck,Anas undulata,7F64AD87E76FBFDD,https://xeno-canto.org/sounds/uploaded/GQMCPIVNXX/XC369832-Yellow-billed%20Duck.mp3
Mallard,Anas platyrhynchos,85625D75F2524457,https://xeno-canto.org/sounds/uploaded/ETEGTCNTLW/XC1035831-Sinisorsa.mp3
Cape Teal,Anas capensis,25DA0F41467279DF,https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC346594-LS102277%20Cape%20Teal%20call%20B.mp3
