common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Abdim's Stork,Ciconia abdimii,Kleinswartooievaar,https://cdn.sabirds.app/abdims-stork/1_medium.webp,Storks,Very Large,Grassland,"['Black', 'White', 'Grey']"
Acacia Pied Barbet,Tricholaema leucomelas,Bonthoutkapper,https://cdn.sabirds.app/acacia-pied-barbet/1_medium.webp,Barbets,Small,Fynbos,"['Black', 'White', 'Red']"
African Barred Owlet,Glaucidium capense,Gebande Uil,https://cdn.sabirds.app/african-barred-owlet/1_medium.webp,Owls,Medium,Forest,"['Brown', 'White']"
African Black Duck,Anas sparsa,Swarteend,https://cdn.sabirds.app/african-black-duck/1_medium.webp,Ducks,Large,Wetland,"['Brown', 'Black']"
African Black Swift,Apus barbatus,Swartwindswael,https://cdn.sabirds.app/african-black-swift/1_medium.webp,Swifts,Small,Rocky,['Black']
African Broadbill,Smithornis capensis,Breëbek,https://cdn.sabirds.app/african-broadbill/1_medium.webp,Broadbills,Small,Forest,"['Black', 'White', 'Pink']"
African Crake,Crecopsis egregia,Afrikaanse Riethaan,https://cdn.sabirds.app/african-crake/1_medium.webp,Crakes,Medium,Woodland,"['Brown', 'Grey', 'Red']"
African Cuckoo,Cuculus gularis,Afrikaanse Koekoek,https://cdn.sabirds.app/african-cuckoo/1_medium.webp,Cuckoos,Medium,Fynbos,"['Grey', 'White', 'Black']"
African Cuckoo Hawk,Aviceda cuculoides,Koekoekvalk,https://cdn.sabirds.app/african-cuckoo-hawk/1_medium.webp,Hawks,Large,Forest,"['Grey', 'Brown', 'Black']"
African Darter,Anhinga rufa,Slanghalsvoël,https://cdn.sabirds.app/african-darter/1_medium.webp,Darters,Very Large,Wetland,"['Black', 'Brown', 'White']"
African Dusky Flycatcher,Muscicapa adusta,Donkervlieëvanger,https://cdn.sabirds.app/african-dusky-flycatcher/1_medium.webp,Flycatchers,Tiny,Forest,"['Brown', 'Grey', 'Buff']"
African Emerald Cuckoo,Chrysococcyx cupreus,Mooimeisie,https://cdn.sabirds.app/african-emerald-cuckoo/1_medium.webp,Cuckoos,Small,Forest,"['Green', 'Yellow']"
